,MSE,RMSE,MAE,MAPE,R2,Normalized MSE
random_forest,181953852.8638929,13489.027128147267,9972.642592242193,0.0219433062426681,0.9104026194666451,0.0895973805333549
xgboost,183929173.37057358,13562.049010771698,10299.333875354778,0.022833743394806812,0.9094299357870925,0.09057006421290742
linear_regression,280370218.23030394,16744.25926191732,13698.49620415724,0.0306801160530086,0.8619406144051747,0.1380593855948253
persistence_24h,362709304.6452223,19044.92858073304,13567.897824030275,0.030304137717600953,0.8213953533833884,0.1786046466166116
persistence_168h,530117175.2497635,23024.273609600878,17648.15042573321,0.038657700321865524,0.7389606785977236,0.2610393214022764
eia_day_ahead,531077603.4039735,23045.12103253037,9274.688741721855,0.021377045828190937,0.7384877463379595,0.2615122536620405
seasonal_naive,1385641272.770459,37224.202782201515,29939.93188268685,0.06563021615867846,0.31768508088693825,0.6823149191130617
